Gene	Gene_name	Length
ENSG00000173673	HES3	1399
ENSG00000158292	GPR153	13745
ENSG00000097021	ACOT7	130122
ENSG00000271746	AL031848.2	836
ENSG00000069812	HES2	12252
ENSG00000187017	ESPN	36591
ENSG00000265392	MIR4252	62
ENSG00000231868	AL031848.1	3972
ENSG00000215788	TNFRSF25	5409
ENSG00000171680	PLEKHG5	53969
ENSG00000162408	NOL9	33166
ENSG00000253022	RNU6-731P	110
ENSG00000229519	AL591866.1	714
ENSG00000173662	TAS1R1	24448
ENSG00000204859	ZBTB48	9286
ENSG00000162413	KLHL21	23883
ENSG00000116273	PHF13	10299
ENSG00000041988	THAP3	10720
ENSG00000007923	DNAJC11	67756
ENSG00000228750	LINC01672	5375
ENSG00000228463	AP006222.1	101817
ENSG00000286448	AP006222.2	1800
ENSG00000236679	RPL23AP24	384
ENSG00000236601	AL732372.1	7195
ENSG00000237094	AL732372.2	157539
ENSG00000269732	WBP1LP7	362
ENSG00000284733	OR4F29	994
ENSG00000233653	CICP7	2805
ENSG00000250575	AL732372.3	2016
ENSG00000278757	U6	103
ENSG00000230021	AL669831.3	241725
ENSG00000235146	AC114498.1	7139
ENSG00000225972	MTND1P23	371
ENSG00000225630	MTND2P28	1043
ENSG00000237973	MTCO1P12	1542
ENSG00000278791	AC114498.2	88
ENSG00000229344	MTCO2P12	681
ENSG00000240409	MTATP8P1	206
ENSG00000248527	MTATP6P1	680
ENSG00000198744	MTCO3P12	546
ENSG00000268663	WBP1LP6	423
ENSG00000284662	OR4F16	994
ENSG00000229376	CICP3	2811
ENSG00000228327	AL669831.1	52741
ENSG00000223181	RNU6-1199P	103
ENSG00000229905	AL669831.2	1078
ENSG00000237491	LINC01409	31318
ENSG00000285268	AL669831.6	113
ENSG00000230092	AL669831.4	16833
ENSG00000177757	FAM87B	2466
ENSG00000228794	LINC01128	43064
ENSG00000225880	LINC00115	1316
ENSG00000230368	FAM41C	8832
ENSG00000234711	TUBB8P11	1057
ENSG00000283040	AL669831.5	2705
ENSG00000272438	AL645608.6	11142
ENSG00000230699	AL645608.2	3513
ENSG00000241180	AL645608.4	800
ENSG00000223764	LINC02593	4151
ENSG00000187634	SAMD11	20653
ENSG00000188976	NOC2L	15106
ENSG00000187961	KLHL17	5135
ENSG00000187583	PLEKHN1	9383
ENSG00000187642	PERM1	6889
ENSG00000272512	AL645608.7	2085
ENSG00000188290	HES4	1210
ENSG00000187608	ISG15	13402
ENSG00000231702	AL645608.3	153
ENSG00000224969	AL645608.1	1196
ENSG00000188157	AGRN	35998
ENSG00000242590	AL645608.5	1083
ENSG00000217801	AL390719.1	9647
ENSG00000273443	AL645608.8	1080
ENSG00000237330	RNF223	3339
ENSG00000131591	C1orf159	34543
ENSG00000285812	AL390719.3	7013
ENSG00000223823	LINC01342	7039
ENSG00000207730	MIR200B	94
ENSG00000207607	MIR200A	89
ENSG00000198976	MIR429	82
ENSG00000272141	AL390719.2	986
ENSG00000205231	TTLL10-AS1	6499
ENSG00000162571	TTLL10	24051
ENSG00000186891	TNFRSF18	3084
ENSG00000186827	TNFRSF4	2813
ENSG00000078808	SDF4	15159
ENSG00000176022	B3GALT6	2804
ENSG00000184163	C1QTNF12	4276
ENSG00000260179	AL162741.1	1557
ENSG00000160087	UBE2J2	19976
ENSG00000230415	LINC01786	5197
ENSG00000162572	SCNN1D	11593
ENSG00000131584	ACAP3	17219
ENSG00000278073	MIR6726	60
ENSG00000169972	PUSL1	3080
ENSG00000127054	INTS11	13106
ENSG00000283712	MIR6727	64
ENSG00000240731	AL139287.1	1108
ENSG00000224051	CPTP	4140
ENSG00000169962	TAS1R3	4034
ENSG00000107404	DVL1	14142
ENSG00000284372	MIR6808	58
ENSG00000162576	MXRA8	9088
ENSG00000175756	AURKAIP1	1765
ENSG00000223663	NDUFB4P8	366
ENSG00000221978	CCNL2	13624
ENSG00000224870	MRPL20-AS1	2526
ENSG00000242485	MRPL20	5384
ENSG00000264293	RN7SL657P	292
ENSG00000272455	AL391244.2	1522
ENSG00000235098	ANKRD65	3349
ENSG00000225905	AL391244.1	2446
ENSG00000205116	TMEM88B	1659
ENSG00000225285	LINC01770	4034
ENSG00000179403	VWA1	8021
ENSG00000215915	ATAD3C	20474
ENSG00000160072	ATAD3B	26083
ENSG00000284740	AL645728.2	6202
ENSG00000197785	ATAD3A	22523
ENSG00000205090	TMEM240	5846
ENSG00000160075	SSU72	33190
ENSG00000215014	AL645728.1	2973
ENSG00000274481	AL691432.3	399
ENSG00000228594	FNDC10	2123
ENSG00000286989	AL691432.4	2389
ENSG00000272106	AL691432.2	2037
ENSG00000197530	MIB2	15195
ENSG00000189409	MMP23B	3100
ENSG00000248333	CDK11B	23785
ENSG00000272004	FO704657.1	3277
ENSG00000189339	SLC35E2B	33266
ENSG00000269737	AL691432.1	2407
ENSG00000215914	MMP23A	1840
ENSG00000008128	CDK11A	21978
ENSG00000268575	AL031282.2	34952
ENSG00000227775	AL031282.1	12739
ENSG00000215790	SLC35E2A	21161
ENSG00000008130	NADK	29225
ENSG00000078369	GNB1	105832
ENSG00000231050	AL109917.1	1187
ENSG00000169885	CALML6	2188
ENSG00000178821	TMEM52	1689
ENSG00000142609	CFAP74	81886
ENSG00000233542	AL391845.2	2426
ENSG00000187730	GABRD	11429
ENSG00000226969	AL391845.1	867
ENSG00000067606	PRKCZ	134984
ENSG00000271806	AL590822.2	4195
ENSG00000182873	PRKCZ-AS1	2595
ENSG00000162585	FAAP20	28259
ENSG00000234396	AL590822.1	8215
ENSG00000157933	SKI	81894
ENSG00000287356	AL590822.3	8045
ENSG00000116151	MORN1	70454
ENSG00000272161	AL589739.1	492
ENSG00000269896	AL513477.1	2406
ENSG00000272420	AL513477.2	567
ENSG00000157916	RER1	13667
ENSG00000157911	PEX10	9833
ENSG00000149527	PLCH2	79552
ENSG00000224387	AL139246.1	958
ENSG00000229393	AL139246.4	1042
ENSG00000157881	PANK4	18074
ENSG00000197921	HES5	1518
ENSG00000272449	AL139246.5	17396
ENSG00000238164	TNFRSF14-AS1	7111
ENSG00000157873	TNFRSF14	9743
ENSG00000225931	AL139246.2	3478
ENSG00000228037	AL139246.3	2973
ENSG00000157870	PRXL2B	4978
ENSG00000142606	MMEL1	42377
ENSG00000237058	AL831784.1	4052
ENSG00000215912	TTC34	165741
ENSG00000285945	AC242022.2	16642
ENSG00000283259	AC242022.1	2870
ENSG00000171735	CAMTA1	984252
ENSG00000227950	AL590128.1	285
ENSG00000237365	AL512330.1	5903
ENSG00000207056	RNU1-8P	164
ENSG00000237402	CAMTA1-IT1	1328
ENSG00000237728	Z97987.1	7267
ENSG00000225126	AL365194.1	458
ENSG00000270171	AL359881.3	1720
ENSG00000270035	AL359881.2	569
ENSG00000269978	AL359881.1	266
ENSG00000049245	VAMP3	10136
ENSG00000269925	Z98884.2	392
ENSG00000049246	PER3	60857
ENSG00000236266	Z98884.1	17100
ENSG00000049247	UTS2	10429
ENSG00000049249	TNFRSF9	27271
ENSG00000270330	AL009183.1	354
ENSG00000116288	PARK7	31214
ENSG00000200344	Y_RNA	102
ENSG00000284747	AL034417.4	14178
ENSG00000284716	AL034417.3	1747
ENSG00000116285	ERRFI1	21905
ENSG00000238290	AL034417.2	95964
ENSG00000232848	AL034417.1	1218
ENSG00000229305	AL358876.1	2946
ENSG00000227634	LINC01714	13692
ENSG00000200975	RNU1-7P	163
ENSG00000233645	AL358876.2	2339
ENSG00000251977	RNU6-991P	106
ENSG00000162426	SLC45A1	26341
ENSG00000252254	Y_RNA	112
ENSG00000142599	RERE	496524
ENSG00000232912	RERE-AS1	10368
ENSG00000221083	AL096855.1	124
ENSG00000270282	AL096855.2	368
ENSG00000234619	RPL7P11	657
ENSG00000224315	RPL7P7	702
ENSG00000222511	Y_RNA	102
ENSG00000226545	AL357552.1	1031
ENSG00000228423	AL357552.2	1191
ENSG00000229716	RPL23AP19	368
ENSG00000074800	ENO1	18190
ENSG00000274258	MIR6728	88
ENSG00000230679	ENO1-AS1	1059
ENSG00000201725	RNU6-304P	106
ENSG00000238249	HMGN2P17	742
ENSG00000204624	DISP3	58396
ENSG00000285833	AL590989.1	1213
ENSG00000120942	UBIAD1	22843
ENSG00000238199	UBE2V2P3	735
ENSG00000284646	AL031291.1	7359
ENSG00000224338	MTCYBP45	564
ENSG00000175262	C1orf127	35566
ENSG00000215785	CFL1P6	819
ENSG00000120948	TARDBP	14076
ENSG00000277726	AL109811.3	17866
ENSG00000009724	MASP2	20716
ENSG00000271895	AL109811.2	869
ENSG00000116649	SRM	5436
ENSG00000171824	EXOSC10	33251
ENSG00000226849	AL109811.1	4626
ENSG00000230337	EXOSC10-AS1	2425
ENSG00000198793	MTOR	156016
ENSG00000225602	MTOR-AS1	5639
ENSG00000253086	RNU6-537P	102
ENSG00000171819	ANGPTL7	6626
ENSG00000207451	RNU6-291P	106
ENSG00000238173	RPL39P6	149
ENSG00000232208	AL139415.1	351
ENSG00000232663	AL139415.2	162
ENSG00000131686	CA6	29225
ENSG00000265141	RN7SL451P	298
ENSG00000197241	SLC2A7	23045
ENSG00000142583	SLC2A5	53372
ENSG00000252404	AL158048.1	183
ENSG00000180758	GPR157	28797
ENSG00000228526	MIR34AHG	50895
ENSG00000284357	MIR34A	109
ENSG00000234546	LNCTAM34A	14280
ENSG00000049239	H6PD	36562
ENSG00000171621	SPSB1	76638
ENSG00000284652	BX323043.1	1764
ENSG00000284693	LINC02606	15470
ENSG00000252956	RNA5SP40	109
ENSG00000235263	AL928921.1	2379
ENSG00000171612	SLC25A33	45708
ENSG00000231181	AL954705.1	558
ENSG00000188807	TMEM201	25966
ENSG00000171608	PIK3CD	77383
ENSG00000179840	PIK3CD-AS1	1976
ENSG00000233268	AL691449.1	1798
ENSG00000231789	PIK3CD-AS2	15129
ENSG00000171603	CLSTN1	95500
ENSG00000271264	MZT1P1	418
ENSG00000280113	AL357140.3	1982
ENSG00000178585	CTNNBIP1	62060
ENSG00000223989	AL357140.1	1836
ENSG00000285701	AL357140.4	7420
ENSG00000162441	LZIC	21294
ENSG00000228150	AL357140.2	7051
ENSG00000173614	NMNAT1	42073
ENSG00000202415	RN7SKP269	318
ENSG00000283611	TMEM274P	10215
ENSG00000265521	MIR5697	77
ENSG00000241326	AL603962.1	1427
ENSG00000162444	RBP7	18815
ENSG00000130939	UBE4B	148407
ENSG00000224340	AL590639.1	336
ENSG00000233623	PGAM1P11	977
ENSG00000201746	RNU6-828P	106
ENSG00000054523	KIF1B	170798
ENSG00000264881	AL358013.1	85
ENSG00000199562	RNU6-37P	106
ENSG00000264501	RN7SL731P	292
ENSG00000284735	AL139424.3	5244
ENSG00000284642	AL139424.2	2016
ENSG00000142657	PGD	21919
ENSG00000271989	AL139424.1	796
ENSG00000251503	CENPS-CORT	22051
ENSG00000175279	CENPS	12375
ENSG00000241563	CORT	2183
ENSG00000160049	DFFA	16007
ENSG00000203469	AL354956.1	783
ENSG00000142655	PEX14	158470
ENSG00000287727	AL139423.2	4230
ENSG00000243267	RN7SL614P	279
ENSG00000130940	CASZ1	160046
ENSG00000272078	AL139423.1	15092
ENSG00000120949	TNFRSF8	80904
ENSG00000201135	RNU6-777P	103
ENSG00000227875	RPL23AP89	254
ENSG00000285604	AL357835.1	3823
ENSG00000283789	MIR7846	95
ENSG00000028137	TNFRSF1B	42237
ENSG00000263676	MIR4632	60
ENSG00000235643	LINC01647	3890
ENSG00000284708	AL031731.1	19858
ENSG00000116661	FBXO2	18767
ENSG00000132879	FBXO44	8952
ENSG00000116663	FBXO6	10154
ENSG00000116670	MAD2L2	17170
ENSG00000162490	DRAXIN	34147
ENSG00000177674	AGTRAP	18718
ENSG00000215910	C1orf167	27798
ENSG00000177553	AL953897.1	2542
ENSG00000177000	MTHFR	21197
ENSG00000011021	CLCN6	41983
ENSG00000276470	AL021155.3	172
ENSG00000278852	AL021155.4	148
ENSG00000175206	NPPA	2636
ENSG00000275915	AL021155.2	107
ENSG00000120937	NPPB	1481
ENSG00000224904	AL021155.1	2636
ENSG00000285646	AL021155.5	6358
ENSG00000199347	RNU5E-1	119
ENSG00000201801	RNU5E-4P	119
ENSG00000116685	KIAA2013	6837
ENSG00000083444	PLOD1	41333
ENSG00000287384	AL096840.2	594
ENSG00000116688	MFN2	33333
ENSG00000270914	AL096840.1	92
ENSG00000116691	MIIP	12579
ENSG00000202461	Y_RNA	112
ENSG00000276869	MIR6729	64
ENSG00000243539	RN7SL649P	274
ENSG00000239810	PRAMEF11	6805
ENSG00000179172	HNRNPCL1	1317
ENSG00000277058	HNRNPCL3	1360
ENSG00000277862	PRAMEF34P	2792
ENSG00000236179	PRAMEF35P	1286
ENSG00000275774	HNRNPCL2	1366
ENSG00000162493	PDPN	34492
ENSG00000222952	RNA5SP41	100
ENSG00000225196	RPL10P17	315
ENSG00000252969	SNORA70	123
ENSG00000048707	VPS13D	282017
ENSG00000239149	SNORA59A	151
ENSG00000229484	LINC02766	696
ENSG00000162496	DHRS3	50300
ENSG00000221340	RNU6ATAC18P	100
ENSG00000276830	MIR6730	66
ENSG00000272482	AC254633.1	344
ENSG00000204518	AADACL4	22539
ENSG00000237445	AL359771.1	2599
ENSG00000253085	AL359771.2	129
ENSG00000116731	PRDM2	124881
ENSG00000189337	KAZN	1225251
ENSG00000252151	RNU6-1265P	102
ENSG00000231606	AL357873.1	82558
ENSG00000234593	KAZN-AS1	81148
ENSG00000235829	TBCAP2	484
ENSG00000287756	AL031293.1	3258
ENSG00000175147	TMEM51-AS1	41803
ENSG00000171729	TMEM51	67946
ENSG00000204464	C1orf195	6973
ENSG00000215720	AL035405.1	1017
ENSG00000278480	AL391094.1	1176
ENSG00000142621	FHAD1	153011
ENSG00000233485	AL031283.2	17196
ENSG00000236045	AL031283.3	1298
ENSG00000228140	AL031283.1	6454
ENSG00000142634	EFHD2	20451
ENSG00000162438	CTRC	10800
ENSG00000280114	AL021920.2	7652
ENSG00000236698	EIF1AXP1	434
ENSG00000268869	ESPNP	32818
ENSG00000279151	AL021920.1	4048
ENSG00000282740	AL021920.3	10651
ENSG00000058453	CROCC	232691
ENSG00000227684	CROCCP4	10688
ENSG00000207389	RNU1-4	163
ENSG00000186715	MST1L	15327
ENSG00000223643	BX284668.1	1872
ENSG00000230239	BX284668.3	3877
ENSG00000263811	MIR3675	72
ENSG00000228549	BX284668.2	12714
ENSG00000277234	RNU1-5P	143
ENSG00000238142	BX284668.5	2129
ENSG00000235241	BX284668.4	507
ENSG00000207005	RNU1-2	163
ENSG00000272426	BX284668.6	437
ENSG00000117122	MFAP2	6130
ENSG00000286898	AL049569.2	1490
ENSG00000226526	AL049569.1	26165
ENSG00000159363	ATP13A2	25970
ENSG00000117118	SDHB	35448
ENSG00000117115	PADI2	52690
ENSG00000142615	CELA2A	15363
ENSG00000215704	CELA2B	25486
ENSG00000132906	CASP9	35702
ENSG00000116138	DNAJC16	65566
ENSG00000251866	SCARNA21B	139
ENSG00000272510	AL121992.3	345
ENSG00000116771	AGMAT	13352
ENSG00000237301	AL121992.1	17490
ENSG00000235084	CHCHD2P6	446
ENSG00000252417	RNU7-179P	67
ENSG00000236500	CD24P1	224
ENSG00000197312	DDI2	51586
ENSG00000215695	RSC1A1	1853
ENSG00000271742	AL121992.2	255
ENSG00000116786	PLEKHM2	50449
ENSG00000237938	AL450998.3	16584
ENSG00000162461	SLC25A34	5134
ENSG00000224459	SLC25A34-AS1	9845
ENSG00000162460	TMEM82	5483
ENSG00000162458	FBLIM1	29987
ENSG00000224321	RPL12P14	489
ENSG00000233954	UQCRHL	2179
ENSG00000178715	AL450998.1	437
ENSG00000179743	AL450998.2	13673
ENSG00000065526	SPEN	92749
ENSG00000270620	AL034555.1	210
ENSG00000116809	ZBTB17	34263
ENSG00000234607	AL355994.4	562
ENSG00000231353	AL355994.1	259
ENSG00000275503	AL355994.5	235
ENSG00000224966	TBC1D3P6	4880
ENSG00000183888	SRARP	4571
ENSG00000233078	AL355994.3	511
ENSG00000173641	HSPB7	5566
ENSG00000186510	CLCNKA	15175
ENSG00000232456	AL355994.2	4851
ENSG00000184908	CLCNKB	13572
ENSG00000185519	FAM131C	15882
ENSG00000142627	EPHA2	31732
ENSG00000227959	AL451042.2	2118
ENSG00000224621	AL451042.1	2617
ENSG00000234166	ARHGEF19-AS1	503
ENSG00000142632	ARHGEF19	14798
ENSG00000237276	ANO7L1	12118
ENSG00000288398	AL109627.1	2661
ENSG00000132881	CPLANE2	5491
ENSG00000233929	MT1XP1	185
ENSG00000037637	FBXO42	105640
ENSG00000055070	SZRD1	45570
ENSG00000226457	RPL22P3	380
ENSG00000187144	SPATA21	50307
ENSG00000157191	NECAP2	19357
ENSG00000226029	LINC01772	7533
ENSG00000080947	CROCCP3	31821
ENSG00000206652	RNU1-1	163
ENSG00000261135	AL137802.2	1109
ENSG00000285853	AL137802.3	6754
ENSG00000224174	AL137802.1	1102
ENSG00000233421	LINC01783	2286
ENSG00000277344	RNU1-6P	143
ENSG00000225710	AL355149.1	3880
ENSG00000219481	NBPF1	51243
ENSG00000271732	AL137798.1	338
ENSG00000215908	CROCCP2	38979
ENSG00000283773	AL137798.3	342
ENSG00000186301	MST1P2	4667
ENSG00000282143	AL137798.2	10645
ENSG00000207513	RNU1-3	163
ENSG00000117154	IGSF21	270685
ENSG00000280222	AL365209.1	6472
ENSG00000230035	IGSF21-AS1	12417
ENSG00000179023	KLHDC7A	5144
ENSG00000204362	LINC02783	7834
ENSG00000282843	AL590644.1	8501
ENSG00000142623	PADI1	40879
ENSG00000142619	PADI3	35135
ENSG00000266634	MIR3972	86
ENSG00000159339	PADI4	55809
ENSG00000276747	PADI6	29503
ENSG00000227751	RCC2-AS1	622
ENSG00000179051	RCC2	32917
ENSG00000074964	ARHGEF10L	158176
ENSG00000236648	LINC02810	32353
ENSG00000179002	TAS1R2	20083
ENSG00000159423	ALDH4A1	31294
ENSG00000265606	MIR4695	73
ENSG00000221662	MIR1290	77
ENSG00000169991	IFFO2	52396
ENSG00000169914	OTUD3	30550
ENSG00000188257	PLA2G2A	4985
ENSG00000272084	AL137127.1	3401
ENSG00000127481	UBR4	135756
ENSG00000230424	EMC1-AS1	30203
ENSG00000127463	EMC1	35867
ENSG00000053372	MRTO4	8323
ENSG00000286064	AL035413.2	1786
ENSG00000211454	AKR7L	8212
ENSG00000162482	AKR7A3	6197
ENSG00000270728	AL035413.1	823
ENSG00000053371	AKR7A2	8181
ENSG00000200403	RNU6-1099P	106
ENSG00000040487	SLC66A1	16974
ENSG00000077549	CAPZB	146764
ENSG00000240490	RN7SL277P	287
ENSG00000173436	MICOS10	145418
ENSG00000201609	RNU4-28P	140
ENSG00000235185	AL031727.2	5030
ENSG00000158747	NBL1	61477
ENSG00000270136	MICOS10-NBL1	59860
ENSG00000226396	AL031727.1	454
ENSG00000158748	HTR6	16091
ENSG00000162542	TMCO4	117732
ENSG00000178828	RNF186	1254
ENSG00000235434	AL391883.1	5135
ENSG00000117215	PLA2G2D	7627
ENSG00000158786	PLA2G2F	11060
ENSG00000227066	Z98257.1	6397
ENSG00000187980	PLA2G2C	16171
ENSG00000225986	UBXN10-AS1	2244
ENSG00000162543	UBXN10	9954
ENSG00000158816	VWA5B1	63975
ENSG00000226664	AL020998.1	28976
ENSG00000236963	LINC01141	70655
ENSG00000226487	AL139254.1	949
ENSG00000284641	AL139254.2	2715
ENSG00000284743	AL139254.3	1618
ENSG00000162545	CAMK2N1	3819
ENSG00000090432	MUL1	8703
ENSG00000215520	RPS4XP4	762
ENSG00000183114	FAM43B	2447
ENSG00000158825	CDA	29817
ENSG00000158828	PINK1	18053
ENSG00000284005	MIR6084	109
ENSG00000117242	PINK1-AS	9536
ENSG00000244038	DDOST	9777
ENSG00000117245	KIF17	54003
ENSG00000235432	AL663074.2	1279
ENSG00000189410	SH2D5	13106
ENSG00000233069	AL663074.1	1072
ENSG00000127483	HP1BP3	44644
ENSG00000075151	EIF4G3	370596
ENSG00000251914	RNU7-200P	61
ENSG00000221808	MIR1256	118
ENSG00000233072	RPS15AP6	384
ENSG00000236073	AL627311.1	114
ENSG00000235112	HSPE1P27	606
ENSG00000287192	AL031005.2	1110
ENSG00000117298	ECE1	128325
ENSG00000236936	AL031005.1	1169
ENSG00000231105	AL031728.1	6584
ENSG00000236216	PPP1R11P1	375
ENSG00000228823	AL592309.1	1833
ENSG00000236009	AL592309.2	1594
ENSG00000227001	NBPF2P	3342
ENSG00000187952	HS6ST1P1	1233
ENSG00000186543	CROCCP5	3240
ENSG00000142794	NBPF3	44877
ENSG00000176378	PFN1P10	326
ENSG00000283234	AL590556.2	6192
ENSG00000162551	ALPL	69013
ENSG00000233431	LINC02596	4715
ENSG00000076864	RAP1GAP	73148
ENSG00000090686	USP48	105308
ENSG00000231978	AL590103.1	306
ENSG00000187942	LDLRAD2	12960
ENSG00000142798	HSPG2	115066
ENSG00000232037	AL590556.1	482
ENSG00000234397	PPIAP34	491
ENSG00000279625	AL591122.1	1852
ENSG00000219073	CELA3B	21620
ENSG00000285959	AL590556.3	47011
ENSG00000273610	RN7SL386P	296
ENSG00000201919	RNU6-1022P	103
ENSG00000142789	CELA3A	10885
ENSG00000278124	RN7SL186P	296
ENSG00000201273	RNU6-776P	103
ENSG00000228397	LINC01635	2058
ENSG00000218510	LINC00339	6665
ENSG00000070831	CDC42	75849
ENSG00000285752	CDC42-AS1	24610
ENSG00000285794	AL031281.2	221
ENSG00000230068	CDC42-IT1	5002
ENSG00000271428	AL031281.1	487
ENSG00000162552	WNT4	26656
ENSG00000285873	AL445253.1	14551
ENSG00000227868	TEX46	5018
ENSG00000133216	EPHB2	210661
ENSG00000265422	MIR4684	81
ENSG00000225952	AL512444.1	1136
ENSG00000264014	MIR4253	67
ENSG00000184677	ZBTB40	102319
ENSG00000237200	ZBTB40-IT1	2234
ENSG00000070886	EPHA8	40106
ENSG00000276835	MIR6127	108
ENSG00000173372	C1QA	3050
ENSG00000159189	C1QC	4477
ENSG00000173369	C1QB	8875
ENSG00000004487	KDM1A	64246
ENSG00000240553	AL031428.1	67911
ENSG00000263793	MIR3115	67
ENSG00000266802	AL031428.2	76
ENSG00000169641	LUZP1	93785
ENSG00000229010	AL161672.1	817
ENSG00000206935	RNU6-514P	106
ENSG00000252578	RNU6-135P	100
ENSG00000179546	HTR1D	2834
ENSG00000215381	AL109936.1	459
ENSG00000261326	LINC01355	6181
ENSG00000284726	AL109936.6	5069
ENSG00000125944	HNRNPR	40565
ENSG00000125945	ZNF436	10388
ENSG00000249087	ZNF436-AS1	2842
ENSG00000201405	Y_RNA	92
ENSG00000271420	AL109936.2	649
ENSG00000204219	TCEA3	43839
ENSG00000232482	AL357134.1	1314
ENSG00000088280	ASAP3	56005
ENSG00000225315	AL591178.1	45964
ENSG00000142661	MYOM3	56100
ENSG00000230703	AL591178.2	16791
ENSG00000142677	IL22RA1	23369
ENSG00000185436	IFNLR1	33791
ENSG00000230023	LINC02800	11453
ENSG00000007968	E2F2	24795
ENSG00000235052	AL021154.1	1776
ENSG00000117318	ID3	1575
ENSG00000285802	AL450043.1	17185
ENSG00000197880	MDS2	59073
ENSG00000229239	AL451000.1	9965
ENSG00000142676	RPL11	5093
ENSG00000236810	ELOA-AS1	71395
ENSG00000011007	ELOA	18904
ENSG00000057757	PITHD1	9814
ENSG00000011009	LYPLA2	4394
ENSG00000117308	GALE	5182
ENSG00000117305	HMGCL	36735
ENSG00000179163	FUCA1	23217
ENSG00000188822	CNR2	42847
ENSG00000229106	BTBD6P1	1266
ENSG00000232557	AL590609.3	774
ENSG00000264926	MIR378F	77
ENSG00000230228	AL590609.2	367
ENSG00000189266	PNRC2	6623
ENSG00000188529	SRSF10	16580
ENSG00000020633	RUNX3	65610
ENSG00000278034	MIR6731	71
ENSG00000229162	AL445471.1	1752
ENSG00000232298	AL138902.1	14345
ENSG00000158055	GRHL3	45160
ENSG00000001460	STPG1	59935
ENSG00000001461	NIPAL3	57174
ENSG00000286061	RCAN3AS	39146
ENSG00000117602	RCAN3	38689
ENSG00000264443	NCMAP-DT	17222
ENSG00000184454	NCMAP	53241
ENSG00000227312	AL445686.1	347
ENSG00000239106	Y_RNA	102
ENSG00000133226	SRRM1	41565
ENSG00000284699	AL445648.1	12702
ENSG00000169504	CLIC4	98939
ENSG00000238482	RNU6-1208P	106
ENSG00000231953	AL031432.1	1298
ENSG00000117614	SYF2	10226
ENSG00000284602	AL031432.4	2189
ENSG00000284657	AL031432.5	759
ENSG00000117616	RSRP1	95964
ENSG00000272432	AL031432.3	484
ENSG00000261349	AL031432.2	1034
ENSG00000187010	RHD	58052
ENSG00000224183	SDHDP6	479
ENSG00000259984	AL928711.1	1036
ENSG00000183726	TMEM50A	24044
ENSG00000188672	RHCE	67943
ENSG00000238084	AL031284.1	477
ENSG00000204178	MACO1	69351
ENSG00000157978	LDLRAP1	25306
ENSG00000225643	AL606491.1	8878
ENSG00000117643	MAN1C1	168739
ENSG00000233478	AL031280.1	14567
ENSG00000162430	SELENON	18045
ENSG00000255054	AL020996.2	12274
ENSG00000228172	AL020996.1	4048
ENSG00000117640	MTFR1L	14302
ENSG00000272478	AL020996.3	221
ENSG00000127423	AUNIP	27545
ENSG00000236528	AL033528.2	3807
ENSG00000182749	PAQR7	10043
ENSG00000207302	Y_RNA	109
ENSG00000117632	STMN1	22810
